year,pop,city_st
1910,2907,"Abbeville, LA"
1911,2982.273582315945,"Abbeville, LA"
1912,3050.250813006125,"Abbeville, LA"
1913,3112.011692070539,"Abbeville, LA"
1914,3168.6362195091874,"Abbeville, LA"
1915,3221.20439532207,"Abbeville, LA"
1916,3270.7962195091873,"Abbeville, LA"
1917,3318.491692070539,"Abbeville, LA"
1918,3365.370813006125,"Abbeville, LA"
1919,3412.5135823159453,"Abbeville, LA"
1920,3461,"Abbeville, LA"
1921,3512.0087012208655,"Abbeville, LA"
1922,3567.112861791425,"Abbeville, LA"
1923,3627.984292687138,"Abbeville, LA"
1924,3696.294804883463,"Abbeville, LA"
1925,3773.71620935586,"Abbeville, LA"
1926,3861.9203170797878,"Abbeville, LA"
1927,3962.578939030707,"Abbeville, LA"
1928,4077.3638861840755,"Abbeville, LA"
1929,4207.946969515353,"Abbeville, LA"
1930,4356,"Abbeville, LA"
1931,4522.701612800592,"Abbeville, LA"
1932,4707.257739828175,"Abbeville, LA"
1933,4908.38113718091,"Abbeville, LA"
1934,5124.784560956961,"Abbeville, LA"
1935,5355.180767254491,"Abbeville, LA"
1936,5598.282512171661,"Abbeville, LA"
1937,5852.802551806635,"Abbeville, LA"
1938,6117.453642257574,"Abbeville, LA"
1939,6390.948539622641,"Abbeville, LA"
1940,6672,"Abbeville, LA"
1941,6959.043847576767,"Abbeville, LA"
1942,7249.408178895877,"Abbeville, LA"
1943,7540.144158589222,"Abbeville, LA"
1944,7828.3029512886915,"Abbeville, LA"
1945,8110.935721626177,"Abbeville, LA"
1946,8385.093634233568,"Abbeville, LA"
1947,8647.827853742756,"Abbeville, LA"
1948,8896.18954478563,"Abbeville, LA"
1949,9127.22987199408,"Abbeville, LA"
1950,9338,"Abbeville, LA"
1951,9526.282996892342,"Abbeville, LA"
1952,9692.789544588317,"Abbeville, LA"
1953,9838.962228462202,"Abbeville, LA"
1954,9966.243633888273,"Abbeville, LA"
1955,10076.076346240803,"Abbeville, LA"
1956,10169.90295089407,"Abbeville, LA"
1957,10249.166033222346,"Abbeville, LA"
1958,10315.30817859991,"Abbeville, LA"
1959,10369.771972401037,"Abbeville, LA"
1960,10414,"Abbeville, LA"
1961,10449.820164853865,"Abbeville, LA"
1962,10480.601642750853,"Abbeville, LA"
1963,10510.098927561969,"Abbeville, LA"
1964,10542.06651315822,"Abbeville, LA"
1965,10580.258893410613,"Abbeville, LA"
1966,10628.430562190159,"Abbeville, LA"
1967,10690.336013367863,"Abbeville, LA"
1968,10769.729740814733,"Abbeville, LA"
1969,10870.366238401775,"Abbeville, LA"
1970,10996,"Abbeville, LA"
1971,11148.323343692195,"Abbeville, LA"
1972,11320.77988440827,"Abbeville, LA"
1973,11504.751061289924,"Abbeville, LA"
1974,11691.618313478852,"Abbeville, LA"
1975,11872.763080116743,"Abbeville, LA"
1976,12039.566800345296,"Abbeville, LA"
1977,12183.410913306203,"Abbeville, LA"
1978,12295.67685814116,"Abbeville, LA"
1979,12367.74607399186,"Abbeville, LA"
1980,12391,"Abbeville, LA"
1981,12359.964460377358,"Abbeville, LA"
1982,12281.742819616064,"Abbeville, LA"
1983,12166.582827278333,"Abbeville, LA"
1984,12024.732232926379,"Abbeville, LA"
1985,11866.438786122415,"Abbeville, LA"
1986,11701.95023642866,"Abbeville, LA"
1987,11541.514333407325,"Abbeville, LA"
1988,11395.378826620627,"Abbeville, LA"
1989,11273.79146563078,"Abbeville, LA"
1990,11187,"Abbeville, LA"
1991,11142.651814798372,"Abbeville, LA"
1992,11137.992837127471,"Abbeville, LA"
1993,11167.668629596745,"Abbeville, LA"
1994,11226.324754815638,"Abbeville, LA"
1995,11308.606775393595,"Abbeville, LA"
1996,11409.160253940066,"Abbeville, LA"
1997,11522.630753064497,"Abbeville, LA"
1998,11643.66383537633,"Abbeville, LA"
1999,11766.905063485017,"Abbeville, LA"
2000,11887,"Abbeville, LA"
2001,11999.114280429152,"Abbeville, LA"
2002,12100.49383187405,"Abbeville, LA"
2003,12188.90465433469,"Abbeville, LA"
2004,12262.112747811074,"Abbeville, LA"
2005,12317.884112303202,"Abbeville, LA"
2006,12353.984747811073,"Abbeville, LA"
2007,12368.18065433469,"Abbeville, LA"
2008,12358.23783187405,"Abbeville, LA"
2009,12321.922280429153,"Abbeville, LA"
2010,12257,"Abbeville, LA"
1950,2944,"Aberdeen, MD"
1951,3792.6851507177034,"Aberdeen, MD"
1952,4601.104267942584,"Aberdeen, MD"
1953,5369.758351674641,"Aberdeen, MD"
1954,6099.148401913875,"Aberdeen, MD"
1955,6789.775418660287,"Aberdeen, MD"
1956,7442.140401913875,"Aberdeen, MD"
1957,8056.744351674641,"Aberdeen, MD"
1958,8634.088267942583,"Aberdeen, MD"
1959,9174.673150717703,"Aberdeen, MD"
1960,9679,"Aberdeen, MD"
1961,10147.106519138755,"Aberdeen, MD"
1962,10577.177224880383,"Aberdeen, MD"
1963,10966.933337320574,"Aberdeen, MD"
1964,11314.096076555024,"Aberdeen, MD"
1965,11616.386662679426,"Aberdeen, MD"
1966,11871.526315789473,"Aberdeen, MD"
1967,12077.23625598086,"Aberdeen, MD"
1968,12231.237703349283,"Aberdeen, MD"
1969,12331.251877990431,"Aberdeen, MD"
1970,12375,"Aberdeen, MD"
1971,12362.519772727273,"Aberdeen, MD"
1972,12303.114832535884,"Aberdeen, MD"
1973,12208.405299043063,"Aberdeen, MD"
1974,12090.011291866029,"Aberdeen, MD"
1975,11959.552930622009,"Aberdeen, MD"
1976,11828.65033492823,"Aberdeen, MD"
1977,11708.923624401914,"Aberdeen, MD"
1978,11611.992918660288,"Aberdeen, MD"
1979,11549.478337320574,"Aberdeen, MD"
1980,11533,"Aberdeen, MD"
1981,11570.808389952153,"Aberdeen, MD"
1982,11657.675444976077,"Aberdeen, MD"
1983,11785.003466507176,"Aberdeen, MD"
1984,11944.194755980861,"Aberdeen, MD"
1985,12126.651614832535,"Aberdeen, MD"
1986,12323.776344497608,"Aberdeen, MD"
1987,12526.971246411484,"Aberdeen, MD"
1988,12727.63862200957,"Aberdeen, MD"
1989,12917.180772727274,"Aberdeen, MD"
1990,13087,"Aberdeen, MD"
1991,13230.531667464114,"Aberdeen, MD"
1992,13349.34338755981,"Aberdeen, MD"
1993,13447.03583492823,"Aberdeen, MD"
1994,13527.209684210526,"Aberdeen, MD"
1995,13593.465610047848,"Aberdeen, MD"
1996,13649.40428708134,"Aberdeen, MD"
1997,13698.626389952153,"Aberdeen, MD"
1998,13744.732593301436,"Aberdeen, MD"
1999,13791.323571770336,"Aberdeen, MD"
2000,13842,"Aberdeen, MD"
2001,13899.955940191388,"Aberdeen, MD"
2002,13966.75900478469,"Aberdeen, MD"
2003,14043.570193779904,"Aberdeen, MD"
2004,14131.550507177033,"Aberdeen, MD"
2005,14231.860944976077,"Aberdeen, MD"
2006,14345.662507177034,"Aberdeen, MD"
2007,14474.116193779904,"Aberdeen, MD"
2008,14618.38300478469,"Aberdeen, MD"
2009,14779.623940191388,"Aberdeen, MD"
2010,14959,"Aberdeen, MD"
1900,3747,"Aberdeen, WA"
1901,5568.572394029712,"Aberdeen, WA"
1902,7171.119811608378,"Aberdeen, WA"
1903,8567.587252735997,"Aberdeen, WA"
1904,9770.919717412566,"Aberdeen, WA"
1905,10794.062205638089,"Aberdeen, WA"
1906,11649.959717412567,"Aberdeen, WA"
1907,12351.557252735995,"Aberdeen, WA"
1908,12911.799811608376,"Aberdeen, WA"
1909,13343.63239402971,"Aberdeen, WA"
1910,13659.999999999998,"Aberdeen, WA"
1911,13875.863627164345,"Aberdeen, WA"
1912,14014.24826374827,"Aberdeen, WA"
1913,14100.194895622406,"Aberdeen, WA"
1914,14158.744508657379,"Aberdeen, WA"
1915,14214.938088723819,"Aberdeen, WA"
1916,14293.816621692353,"Aberdeen, WA"
1917,14420.42109343361,"Aberdeen, WA"
1918,14619.792489818217,"Aberdeen, WA"
1919,14916.971796716805,"Aberdeen, WA"
1920,15337,"Aberdeen, WA"
1921,15894.838097312908,"Aberdeen, WA"
1922,16565.12713339854,"Aberdeen, WA"
1923,17312.428164774377,"Aberdeen, WA"
1924,18101.302247957916,"Aberdeen, WA"
1925,18896.310439466633,"Aberdeen, WA"
1926,19662.013795818024,"Aberdeen, WA"
1927,20362.973373529567,"Aberdeen, WA"
1928,20963.750229118756,"Aberdeen, WA"
1929,21428.90541910307,"Aberdeen, WA"
1930,21723,"Aberdeen, WA"
1931,21821.981983584024,"Aberdeen, WA"
1932,21747.347202657573,"Aberdeen, WA"
1933,21531.978445280078,"Aberdeen, WA"
1934,21208.758499510957,"Aberdeen, WA"
1935,20810.57015340964,"Aberdeen, WA"
1936,20370.296195035557,"Aberdeen, WA"
1937,19920.819412448123,"Aberdeen, WA"
1938,19495.02259370677,"Aberdeen, WA"
1939,19125.78852687092,"Aberdeen, WA"
1940,18846,"Aberdeen, WA"
1941,18679.990968351,"Aberdeen, WA"
1942,18617.900055971168,"Aberdeen, WA"
1943,18641.317054105315,"Aberdeen, WA"
1944,18731.831753998256,"Aberdeen, WA"
1945,18871.033946894797,"Aberdeen, WA"
1946,19040.513424039757,"Aberdeen, WA"
1947,19221.859976677944,"Aberdeen, WA"
1948,19396.663396054173,"Aberdeen, WA"
1949,19546.513473413255,"Aberdeen, WA"
1950,19653,"Aberdeen, WA"
1951,19702.171143011976,"Aberdeen, WA"
1952,19697.908573457753,"Aberdeen, WA"
1953,19648.55233829866,"Aberdeen, WA"
1954,19562.442484496023,"Aberdeen, WA"
1955,19447.919059011165,"Aberdeen, WA"
1956,19313.322108805412,"Aberdeen, WA"
1957,19166.991680840096,"Aberdeen, WA"
1958,19017.267822076537,"Aberdeen, WA"
1959,18872.490579476063,"Aberdeen, WA"
1960,18741,"Aberdeen, WA"
1961,18629.6334596011,"Aberdeen, WA"
1962,18539.21765019782,"Aberdeen, WA"
1963,18469.076592700047,"Aberdeen, WA"
1964,18418.534308017657,"Aberdeen, WA"
1965,18386.914817060544,"Aberdeen, WA"
1966,18373.542140738587,"Aberdeen, WA"
1967,18377.740299961668,"Aberdeen, WA"
1968,18398.833315639677,"Aberdeen, WA"
1969,18436.145208682494,"Aberdeen, WA"
1970,18489,"Aberdeen, WA"
1971,18555.737018583626,"Aberdeen, WA"
1972,18630.756825750967,"Aberdeen, WA"
1973,18707.475290901162,"Aberdeen, WA"
1974,18779.308283433344,"Aberdeen, WA"
1975,18839.67167274666,"Aberdeen, WA"
1976,18881.98132824024,"Aberdeen, WA"
1977,18899.653119313225,"Aberdeen, WA"
1978,18886.102915364754,"Aberdeen, WA"
1979,18834.746585793968,"Aberdeen, WA"
1980,18739,"Aberdeen, WA"
1981,18594.952466064395,"Aberdeen, WA"
1982,18409.38704679831,"Aberdeen, WA"
