city_st,year,pop,avg_m
"Aberdeen, WA",2002,16590.497004978544,0.016555333333333335
"Absecon, NJ",2006,8012.908071428572,0.00432
"Absecon, NJ",2008,8194.301380952382,0
"Agoura Hills, CA",2002,20252.24,0
"Ahoskie, NC",2008,4922.309448165869,0
"Airmont, NY",2008,8462.2,0
"Alameda, CA",2002,71008.19110713337,0
"Albany, CA",2002,16579.805357668436,0
"Aldan, PA",2008,4164.256683760684,0
"Alhambra, CA",2002,85311.94493141309,0
"Allendale, NJ",2008,6716.692095238095,0
"Ambler, PA",2008,6374.279424836602,0
"American Canyon, CA",2002,10859.824,0
"Amesbury, MA",1990,14997,0
"Amesbury, MA",1991,15115.115727205037,0.00216
"Amesbury, MA",1992,15250.031994116249,0.007096571428571429
"Amesbury, MA",1993,15397.71395441007,0
"Amesbury, MA",1994,15554.12676176293,0.0023888
"Amesbury, MA",1995,15715.23556985126,0.025558
"Amesbury, MA",1996,15877.005532351488,0.0030232
"Amesbury, MA",1997,16035.401802940049,0.001832
"Amesbury, MA",1998,16186.389535293363,0.005077
"Amesbury, MA",1999,16325.933883087871,0.0016205714285714285
"Amesbury, MA",2000,16450,0.004486352941176471
"Amesbury, MA",2001,16554.884347426774,0.0050680000000000005
"Amesbury, MA",2002,16638.208617647597,3.6166666666666666e-4
"Amesbury, MA",2003,16697.92581066247,0.0161912
"Amesbury, MA",2004,16731.988926471397,0.0072
"Amesbury, MA",2005,16738.35096507437,0.011689333333333333
"Amesbury, MA",2006,16714.964926471395,0.0014054
"Amesbury, MA",2007,16659.78381066247,0.005333
"Amesbury, MA",2008,16570.760617647597,0.005156727272727273
"Amityville, NY",1993,9373.104506104328,0
"Amityville, NY",1998,9430.379780490814,0.0032400000000000003
"Amityville, NY",2008,9502.507013935134,0.001344
"Anacortes, WA",2002,15045.98265433469,0
"Anaheim, CA",2002,336556.4752192651,0.006599
"Anaheim, CA",2009,340031.3613108366,0.009
"Ansonia, CT",1992,18408.89986579011,0.0054
"Ansonia, CT",1993,18414.13849124572,0.00108
"Ansonia, CT",1995,18432.432530997736,0.0054
"Ansonia, CT",1998,18489.133773886984,0.017371
"Ansonia, CT",2002,18645.377590080723,0
"Ansonia, CT",2003,18700.84608698095,0
"Ansonia, CT",2005,18830.127484501132,0.024946
"Ansonia, CT",2008,19066.26559008073,0.0032228571428571428
"Antioch, CA",2002,95164.92410813768,0
"Arcadia, CA",2002,53980.23391622477,0
"Arcadia, FL",1996,6538.883613033873,0.009179
"Arcadia, FL",2000,6604,0.00144
"Ardsley, NY",2008,4381.884571428572,0
"Arlington, WA",2002,13340.928,0
"Artesia, CA",2002,16470.763523809524,0.006599
"Artesia, CA",2009,16548.412982142858,0.009
"Asbury Park, NJ",1998,16916.18047034462,0.0054
"Asbury Park, NJ",2006,16661.126067487905,0.00432
"Asbury Park, NJ",2008,16432.04137832527,0
"Astoria, OR",2002,9739.96635443255,0.024833
"Atascadero, CA",2002,26792.790851674643,0
"Atherton, CA",2002,7205.824488262911,0
"Atlantic City, NJ",2006,40943.744746493576,0.00432
"Atlantic City, NJ",2008,40461.811164329054,0
"Atlantic Highlands, NJ",1998,4689.079527910686,0.0054
"Atlantic Highlands, NJ",2008,4523.761480063796,0
"Attleboro, MA",1989,37903.093881386594,0.042589
"Attleboro, MA",1990,38383,0
"Attleboro, MA",1991,38843.0337189783,0.00198
"Attleboro, MA",1992,39281.86709164672,0.00629575
"Attleboro, MA",1993,39699.822437956595,0.002112
"Attleboro, MA",1994,40097.22207785929,0.005903076923076923
"Attleboro, MA",1995,40474.388331306145,0.02015866666666667
"Attleboro, MA",1996,40831.643518248515,0.019282666666666667
"Attleboro, MA",1997,41169.309958637736,0.0069
"Attleboro, MA",1998,41487.70997242515,0.0049582702702702704
"Attleboro, MA",1999,41787.165879562126,0.0015004444444444444
"Attleboro, MA",2000,42068,0.005928
"Attleboro, MA",2001,42330.204600364894,0.004281473684210527
"Attleboro, MA",2002,42572.45173398203,0.0011161290322580645
