avg_m,pop,city_st,log_p,log_m
0.016555333333333335,16590.497004978544,"Aberdeen, WA",4.219885572984606,1.0071310232173345
0.00432,8012.908071428572,"Absecon, NJ",3.903844356277329,1.0018721113066356
0,8194.301380952382,"Absecon, NJ",3.9135649293132104,1
0,20252.24,"Agoura Hills, CA",4.306494509109416,1
0,4922.309448165869,"Ahoskie, NC",3.6922571336413883,1
0,8462.2,"Airmont, NY",3.927534604123293,1
0,71008.19110713337,"Alameda, CA",4.851314565462302,1
0,16579.805357668436,"Albany, CA",4.219605621141694,1
0,4164.256683760684,"Aldan, PA",3.61964176994591,1
0,85311.94493141309,"Alhambra, CA",4.931014933696717,1
0,6716.692095238095,"Allendale, NJ",3.8272200941166084,1
0,6374.279424836602,"Ambler, PA",3.8044992244009253,1
0,10859.824,"American Canyon, CA",4.035862775996618,1
0,14997,"Amesbury, MA",4.1760333492640225,1
0.00216,15115.115727205037,"Amesbury, MA",4.179440208165205,1.0009370644152802
0.007096571428571429,15250.031994116249,"Amesbury, MA",4.183299232154008,1.0030711174529428
0,15397.71395441007,"Amesbury, MA",4.187484451627019,1
0.0023888,15554.12676176293,"Amesbury, MA",4.191873554609611,1.001036205506673
0.025558,15715.23556985126,"Amesbury, MA",4.196348529806335,1.0109602267401316
0.0030232,15877.005532351488,"Amesbury, MA",4.200795948929019,1.0013109783997343
0.001832,16035.401802940049,"Amesbury, MA",4.205106929258052,1.0007948995849454
0.005077,16186.389535293363,"Amesbury, MA",4.209176817757298,1.002199334785474
0.0016205714285714285,16325.933883087871,"Amesbury, MA",4.212904634051935,1.0007032355610115
0.004486352941176471,16450,"Amesbury, MA",4.216192302363926,1.0019440407531555
0.0050680000000000005,16554.884347426774,"Amesbury, MA",4.21895238393736,1.0021954458617028
3.6166666666666666e-4,16638.208617647597,"Amesbury, MA",4.221132666836806,1.000157041441006
0.0161912,16697.92581066247,"Amesbury, MA",4.222688535249009,1.006975429692572
0.0072,16731.988926471397,"Amesbury, MA",4.223573523648128,1.0031157170998062
0.011689333333333333,16738.35096507437,"Amesbury, MA",4.2237386150819,1.0050471710685294
0.0014054,16714.964926471395,"Amesbury, MA",4.223131451233498,1.000609928968102
0.005333,16659.78381066247,"Amesbury, MA",4.221695429041851,1.002309938481206
0.005156727272727273,16570.760617647597,"Amesbury, MA",4.219368651202071,1.0022337836300548
0,9373.104506104328,"Amityville, NY",3.9719297908922604,1
0.0032400000000000003,9430.379780490814,"Amityville, NY",3.97457523326951,1.0014048395083297
0.001344,9502.507013935134,"Amityville, NY",3.977883899577282,1.0005832998938933
0,15045.98265433469,"Anacortes, WA",4.177449420331759,1
0.006599,336556.4752192651,"Anaheim, CA",5.52705924103873,1.0028564946139742
0.009,340031.3613108366,"Anaheim, CA",5.531520251365542,1.0038911662369105
0.0054,18408.89986579011,"Ansonia, CT",4.265051426317536,1.0023388808920566
0.00108,18414.13849124572,"Ansonia, CT",4.265174989319504,1.000468784942128
0.0054,18432.432530997736,"Ansonia, CT",4.265606213703427,1.0023388808920566
0.017371,18489.133773886984,"Ansonia, CT",4.266940053238717,1.0074793539760158
0,18645.377590080723,"Ansonia, CT",4.270594474458895,1
0,18700.84608698095,"Ansonia, CT",4.271884478505317,1
0.024946,18830.127484501132,"Ansonia, CT",4.274876323502494,1.0107009848846493
0.0032228571428571428,19066.26559008073,"Ansonia, CT",4.280288415946541,1.0013974184407184
0,95164.92410813768,"Antioch, CA",4.978481469172224,1
0,53980.23391622477,"Arcadia, CA",4.732242807543263,1
0.009179,6538.883613033873,"Arcadia, FL",3.8155700194761137,1.0039682047081904
0.00144,6604,"Arcadia, FL",3.819872821950546,1.000624934209221
0,4381.884571428572,"Ardsley, NY",3.6417600331335995,1
0,13340.928,"Arlington, WA",4.125218592643422,1
0.006599,16470.763523809524,"Artesia, CA",4.216740098723997,1.0028564946139742
0.009,16548.412982142858,"Artesia, CA",4.218782593692554,1.0038911662369105
0.0054,16916.18047034462,"Asbury Park, NJ",4.228327982331409,1.0023388808920566
0.00432,16661.126067487905,"Asbury Park, NJ",4.2217304160663955,1.0018721113066356
0,16432.04137832527,"Asbury Park, NJ",4.215717948802479,1
0.024833,9739.96635443255,"Astoria, OR",3.9886020432830915,1.0106531014040354
0,26792.790851674643,"Atascadero, CA",4.4280341630107465,1
0,7205.824488262911,"Atherton, CA",3.857743945577261,1
0.00432,40943.744746493576,"Atlantic City, NJ",4.6121981680241335,1.0018721113066356
0,40461.811164329054,"Atlantic City, NJ",4.607056052205043,1
0.0054,4689.079527910686,"Atlantic Highlands, NJ",3.671180206945347,1.0023388808920566
0,4523.761480063796,"Atlantic Highlands, NJ",3.6555956905860056,1
0.042589,37903.093881386594,"Attleboro, MA",4.5786861190466315,1.0181131385226112
0,38383,"Attleboro, MA",4.584150230623756,1
0.00198,38843.0337189783,"Attleboro, MA",4.589324322444325,1.0008590528921804
0.00629575,39281.86709164672,"Attleboro, MA",4.594203177603726,1.002725638489844
0.002112,39699.822437956595,"Attleboro, MA",4.598799503653961,1.0009162627125818
0.005903076923076923,40097.22207785929,"Attleboro, MA",4.603125116787445,1.0025561365992925
0.02015866666666667,40474.388331306145,"Attleboro, MA",4.607191024178577,1.0086677234274426
0.019282666666666667,40831.643518248515,"Attleboro, MA",4.611007497195206,1.0082946389132417
0.0069,41169.309958637736,"Attleboro, MA",4.614584136679761,1.002986340856785
0.0049582702702702704,41487.70997242515,"Attleboro, MA",4.617929931320483,1.0021480285548998
0.0015004444444444444,41787.165879562126,"Attleboro, MA",4.621053309983883,1.000651146360226
0.005928,42068,"Attleboro, MA",4.62396218875473,1.0025668969010937
0.004281473684210527,42330.204600364894,"Attleboro, MA",4.6266606271758235,1.001855451191051
0.0011161290322580645,42572.45173398203,"Attleboro, MA",4.629138862961953,1.00048445837104
0.012645142857142858,42793.08340085142,"Attleboro, MA",4.631383728733193,1.0054572839601192
0.007227,42990.44160097305,"Attleboro, MA",4.633382008244493,1.0031273590714558
0.0107775,43162.86833434693,"Attleboro, MA",4.635120359110465,1.004655565920413
0.005892173913043478,43308.70560097305,"Attleboro, MA",4.636585231610068,1.0025514292444146
0.004665066666666666,43426.29540085142,"Attleboro, MA",4.6377627828722146,1.0020213016148984
0.0029054117647058825,43513.97973398203,"Attleboro, MA",4.638638785596554,1.0012599748092974
0,24309,"Auburn, ME",4.3857849588433355,1
0,24318.362695033233,"Auburn, ME",4.385952189775989,1
0.00324,24283.449845769148,"Auburn, ME",4.385328269157498,1.0014048395083297
0,24210.867890066467,"Auburn, ME",4.384028295557231,1
0.00216,24107.22326578392,"Auburn, ME",4.382165204807197,1.0009370644152802
0.02306,23833.171762914117,"Auburn, ME",4.377200064799004,1.0099011047823356
0.00216,23675.977760044312,"Auburn, ME",4.374326266213818,1.0009370644152802
0.0015148571428571429,23514.14684002954,"Auburn, ME",4.371347695036826,1.0006573962929002
0,23354.28544072853,"Auburn, ME",4.368385179462627,1
0.004380727272727272,23203,"Auburn, ME",4.3655628567955596,1.0018983705886644
0,23066.33671605956,"Auburn, ME",4.362997455106784,1
0,22948.100828550327,"Auburn, ME",4.360765674062867,1
0.00405,22851.537337472306,"Auburn, ME",4.358934427184221,1.0017553404817174
0.004799333333333333,22779.89124282549,"Auburn, ME",4.357570710711899,1.002079338246474
0.021058857142857143,22736.407544609887,"Auburn, ME",4.356740946136526,1.0090507769504071
