city_st,year,pop,geometry,marker,lat,lon
"Bandon, OR",1890,219,"-124.4155201, 43.1146897",5.539666868282957,43.1146897,-124.4155201
"Bandon, OR",1900,645,"-124.4155201, 43.1146897",5.539666868282957,43.1146897,-124.4155201
"Bandon, OR",1910,1803,"-124.4155201, 43.1146897",5.539666868282957,43.1146897,-124.4155201
"Bandon, OR",1920,1440,"-124.4155201, 43.1146897",5.539666868282957,43.1146897,-124.4155201
"Bandon, OR",1930,1516,"-124.4155201, 43.1146897",5.539666868282957,43.1146897,-124.4155201
"Bandon, OR",1940,1004,"-124.4155201, 43.1146897",5.539666868282957,43.1146897,-124.4155201
"Bandon, OR",1950,1251,"-124.4155201, 43.1146897",5.539666868282957,43.1146897,-124.4155201
"Bandon, OR",1960,1653,"-124.4155201, 43.1146897",5.539666868282957,43.1146897,-124.4155201
"Bandon, OR",1970,1832,"-124.4155201, 43.1146897",5.539666868282957,43.1146897,-124.4155201
"Bandon, OR",1980,2311,"-124.4155201, 43.1146897",5.539666868282957,43.1146897,-124.4155201
"Bandon, OR",1990,2215,"-124.4155201, 43.1146897",5.539666868282957,43.1146897,-124.4155201
"Bandon, OR",2000,2833,"-124.4155201, 43.1146897",5.539666868282957,43.1146897,-124.4155201
"Bandon, OR",2010,3066,"-124.4155201, 43.1146897",5.539666868282957,43.1146897,-124.4155201
"Boston, MA",1790,18320,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",1800,24937,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",1810,33787,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",1820,43298,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",1830,61392,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",1840,93383,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",1850,136881,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",1860,177840,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",1870,250526,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",1880,362839,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",1890,448477,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",1900,560892,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",1910,670585,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",1920,748060,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",1930,781188,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",1940,770816,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",1950,801444,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",1960,697197,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",1970,641071,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",1980,562994,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",1990,574283,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",2000,589141,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Boston, MA",2010,617594,"-71.0201725, 42.33196",8.686785225412184,42.33196,-71.0201725
"Charleston, SC",1790,16359,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",1800,18824,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",1810,24711,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",1820,24780,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",1830,30289,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",1840,29261,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",1850,42985,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",1860,40522,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",1870,48956,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",1880,49984,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",1890,54955,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",1900,55807,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",1910,58833,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",1920,67957,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",1930,62265,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",1940,71275,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",1950,70174,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",1960,65925,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",1970,66945,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",1980,69779,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",1990,80414,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",2000,96650,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Charleston, SC",2010,120083,"-79.9589267, 32.8179219",7.613439446423541,32.8179219,-79.9589267
"Corpus Christi, TX",1860,200,"-97.396259, 27.804553",8.14090448163466,27.804553,-97.396259
"Corpus Christi, TX",1870,2100,"-97.396259, 27.804553",8.14090448163466,27.804553,-97.396259
"Corpus Christi, TX",1880,3257,"-97.396259, 27.804553",8.14090448163466,27.804553,-97.396259
"Corpus Christi, TX",1890,4387,"-97.396259, 27.804553",8.14090448163466,27.804553,-97.396259
"Corpus Christi, TX",1900,4703,"-97.396259, 27.804553",8.14090448163466,27.804553,-97.396259
"Corpus Christi, TX",1910,8222,"-97.396259, 27.804553",8.14090448163466,27.804553,-97.396259
"Corpus Christi, TX",1920,10522,"-97.396259, 27.804553",8.14090448163466,27.804553,-97.396259
"Corpus Christi, TX",1930,27741,"-97.396259, 27.804553",8.14090448163466,27.804553,-97.396259
"Corpus Christi, TX",1940,57301,"-97.396259, 27.804553",8.14090448163466,27.804553,-97.396259
"Corpus Christi, TX",1950,108287,"-97.396259, 27.804553",8.14090448163466,27.804553,-97.396259
"Corpus Christi, TX",1960,167690,"-97.396259, 27.804553",8.14090448163466,27.804553,-97.396259
"Corpus Christi, TX",1970,204525,"-97.396259, 27.804553",8.14090448163466,27.804553,-97.396259
"Corpus Christi, TX",1980,232134,"-97.396259, 27.804553",8.14090448163466,27.804553,-97.396259
"Corpus Christi, TX",1990,257453,"-97.396259, 27.804553",8.14090448163466,27.804553,-97.396259
"Corpus Christi, TX",2000,277454,"-97.396259, 27.804553",8.14090448163466,27.804553,-97.396259
"Corpus Christi, TX",2010,305215,"-97.396259, 27.804553",8.14090448163466,27.804553,-97.396259
"Houston, TX",1850,2400,"-95.3863425, 29.7804724",9.231319449167362,29.7804724,-95.3863425
"Houston, TX",1860,4845,"-95.3863425, 29.7804724",9.231319449167362,29.7804724,-95.3863425
"Houston, TX",1870,9382,"-95.3863425, 29.7804724",9.231319449167362,29.7804724,-95.3863425
"Houston, TX",1880,16513,"-95.3863425, 29.7804724",9.231319449167362,29.7804724,-95.3863425
"Houston, TX",1890,27557,"-95.3863425, 29.7804724",9.231319449167362,29.7804724,-95.3863425
"Houston, TX",1900,44633,"-95.3863425, 29.7804724",9.231319449167362,29.7804724,-95.3863425
"Houston, TX",1910,78800,"-95.3863425, 29.7804724",9.231319449167362,29.7804724,-95.3863425
"Houston, TX",1920,138276,"-95.3863425, 29.7804724",9.231319449167362,29.7804724,-95.3863425
"Houston, TX",1930,292352,"-95.3863425, 29.7804724",9.231319449167362,29.7804724,-95.3863425
"Houston, TX",1940,384514,"-95.3863425, 29.7804724",9.231319449167362,29.7804724,-95.3863425
"Houston, TX",1950,596163,"-95.3863425, 29.7804724",9.231319449167362,29.7804724,-95.3863425
"Houston, TX",1960,938219,"-95.3863425, 29.7804724",9.231319449167362,29.7804724,-95.3863425
"Houston, TX",1970,1233535,"-95.3863425, 29.7804724",9.231319449167362,29.7804724,-95.3863425
