oceans,regions,sub_regions,sampling_method,measurement,unit,density_range,density_class,date,season,year,density_marker_size,city_st,pop,pop_rescaled,geometry,lon,lat
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2021-10-10,Fall,2021,3,"Los Angeles, CA",3792621,46.37575096685511,"c(-118.5202, 34.0269)",-118.5202,34.0269
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-02-08,Winter,2020,6.5,"Los Angeles, CA",3792621,46.37575096685511,"c(-118.5368, 34.0351)",-118.5368,34.03509999999999
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2021-10-16,Fall,2021,3,"Los Angeles, CA",3792621,46.37575096685511,"c(-118.569, 34.0416)",-118.56899999999999,34.041599999999995
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,1-2,Low,2020-02-08,Winter,2020,4.75,"Los Angeles, CA",3792621,46.37575096685511,"c(-118.5371, 34.0351)",-118.5371,34.0351
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,1-2,Low,2022-04-19,Spring,2022,4.75,"Los Angeles, CA",3792621,46.37575096685511,"c(-118.4698, 33.9818)",-118.4698,33.98180000000001
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2022-01-14,Winter,2022,6.5,"San Diego, CA",1307402,15.966706437620884,"c(-117.253, 32.7479)",-117.25300000000001,32.7479
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,1-2,Low,2022-01-21,Winter,2022,4.75,"San Diego, CA",1307402,15.966706437620884,"c(-117.2527, 32.753)",-117.2527,32.753
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2021-05-19,Spring,2021,6.5,"San Diego, CA",1307402,15.966706437620884,"c(-117.1836, 32.6813)",-117.1836,32.6813
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2021-07-27,Summer,2021,3,"San Diego, CA",1307402,15.966706437620884,"c(-117.2577, 32.7978)",-117.2577,32.7978
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2021-07-26,Summer,2021,6.5,"San Diego, CA",1307402,15.966706437620884,"c(-117.255, 32.8653)",-117.25500000000001,32.8653
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2021-05-18,Spring,2021,3,"San Diego, CA",1307402,15.966706437620884,"c(-117.2525, 32.7547)",-117.2525,32.7547
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2021-05-21,Spring,2021,6.5,"San Diego, CA",1307402,15.966706437620884,"c(-117.2581, 32.798)",-117.2581,32.798
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2022-01-19,Winter,2022,6.5,"San Diego, CA",1307402,15.966706437620884,"c(-117.2536, 32.7597)",-117.25360000000002,32.759699999999995
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2021-05-26,Spring,2021,6.5,"San Diego, CA",1307402,15.966706437620884,"c(-117.2554, 32.8623)",-117.2554,32.8623
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-12-08,Winter,2020,6.5,"San Diego, CA",1307402,15.966706437620884,"c(-117.2563, 32.8615)",-117.25630000000001,32.8615
Pacific Ocean,NA,NA,Grab sample,0.003,pieces/m3,0.0005-0.005,Low,2014-03-17,Spring,2014,4.75,"San Diego, CA",1307402,15.966706437620884,"c(-117.2476, 32.7566)",-117.2476,32.7566
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-12-09,Winter,2020,6.5,"San Diego, CA",1307402,15.966706437620884,"c(-117.1828, 32.6811)",-117.18279999999999,32.6811
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,1-2,Low,2021-07-27,Summer,2021,4.75,"San Diego, CA",1307402,15.966706437620884,"c(-117.2526, 32.7535)",-117.25260000000002,32.7535
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2022-01-17,Winter,2022,6.5,"San Diego, CA",1307402,15.966706437620884,"c(-117.2531, 32.7599)",-117.2531,32.7599
Pacific Ocean,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2020-05-02,Spring,2020,3,"San Diego, CA",1307402,15.966706437620884,"c(-117.2596, 32.7995)",-117.2596,32.7995
