oceans,regions,sub_regions,sampling_method,measurement,unit,density_range,density_class,date,season,year,density_marker_size,geometry,density_numeric
Atlantic Ocean,NA,NA,Neuston net,0.00648,pieces/m3,0.005-1,Medium,1989-07-20,Summer,1989,6.5,"c(-68.1, 40.21)",3
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,1991-10-14,Fall,1991,3,"c(-66.97, 37.47)",1
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,2005-06-06,Summer,2005,3,"c(-67, 43.61)",1
Atlantic Ocean,New York Bight,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,2008-09-03,Fall,2008,3,"c(-72.06, 39.69)",1
Atlantic Ocean,NA,NA,Neuston net,0.003088,pieces/m3,0.0005-0.005,Low,1998-06-24,Summer,1998,4.75,"c(-70.67, 41.05)",2
Atlantic Ocean,NA,NA,Neuston net,0.00216,pieces/m3,0.0005-0.005,Low,1996-07-05,Summer,1996,4.75,"c(-70.9, 41.49)",2
Atlantic Ocean,NA,NA,Neuston net,0.01296,pieces/m3,0.005-1,Medium,1995-07-10,Summer,1995,6.5,"c(-71.16, 40.06)",3
Atlantic Ocean,NA,NA,Neuston net,0.0048,pieces/m3,0.0005-0.005,Low,2001-09-06,Fall,2001,4.75,"c(-68.3, 39.84)",2
NA,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2020-11-14,Fall,2020,8.25,"c(-97.3064, 32.6472)",4
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2021-07-14,Summer,2021,3,"c(-77.359, 34.5198)",1
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-02-11,Winter,2020,6.5,"c(-79.8779, 32.7933)",3
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2021-11-23,Fall,2021,8.25,"c(-79.9656, 32.8695)",4
Atlantic Ocean,NA,NA,Neuston net,0.01944,pieces/m3,0.005-1,Medium,2000-04-08,Spring,2000,6.5,"c(-71.22, 31.89)",3
Atlantic Ocean,NA,NA,Neuston net,0.00864,pieces/m3,0.005-1,Medium,1997-01-09,Winter,1997,6.5,"c(-82.18, 24.28)",3
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2021-04-17,Spring,2021,8.25,"c(-75.5824, 39.6528)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-12-08,Winter,2019,6.5,"c(-94.7527, 29.3148)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-04-20,Spring,2019,6.5,"c(-97.0647, 27.8153)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-08-28,Summer,2020,6.5,"c(-96.9827, 27.9324)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-09-21,Fall,2019,6.5,"c(-97.1968, 27.6295)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-02-17,Winter,2019,8.25,"c(-97.1756, 26.1893)",4
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2021-02-07,Winter,2021,3,"c(-95.0622, 29.1252)",1
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2021-02-28,Winter,2021,6.5,"c(-95.2273, 28.997)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2022-05-30,Spring,2022,6.5,"c(-94.7354, 29.3359)",3
Atlantic Ocean,Gulf of Mexico,NA,Hand picking,NA,pieces/10 mins,40-200,High,2020-05-06,Spring,2020,8.25,"c(-94.8002, 29.2808)",4
